# register image marker#1 @0x7381e800  swreg0..400
phys=0x7381ede0  +0x5e0  swreg376  0x00000000
phys=0x7381ede4  +0x5e4  swreg377  0x00000000
phys=0x7381ede8  +0x5e8  swreg378  0x00000000
phys=0x7381edec  +0x5ec  swreg379  0x00000000
phys=0x7381edf0  +0x5f0  swreg380  0x00000000
phys=0x7381edf4  +0x5f4  swreg381  0x00000000
phys=0x7381edf8  +0x5f8  swreg382  0x00000000
phys=0x7381edfc  +0x5fc  swreg383  0x00000000
phys=0x7381ee00  +0x600  swreg384  0x00000000
phys=0x7381ee04  +0x604  swreg385  0x00000000
phys=0x7381ee08  +0x608  swreg386  0x00000000
phys=0x7381ee0c  +0x60c  swreg387  0x00000000
phys=0x7381ee10  +0x610  swreg388  0x00000000
phys=0x7381ee14  +0x614  swreg389  0x00000000
phys=0x7381ee18  +0x618  swreg390  0x00000000
phys=0x7381ee1c  +0x61c  swreg391  0x00000000
phys=0x7381ee20  +0x620  swreg392  0x00000000
phys=0x7381ee24  +0x624  swreg393  0x00000000
phys=0x7381ee28  +0x628  swreg394  0x00000000
phys=0x7381ee2c  +0x62c  swreg395  0x00000000
phys=0x7381ee30  +0x630  swreg396  0x00000000
phys=0x7381ee34  +0x634  swreg397  0x00000000
phys=0x7381ee38  +0x638  swreg398  0x00000000
phys=0x7381ee3c  +0x63c  swreg399  0x00000000
phys=0x7381ee40  +0x640  swreg400  0x00000000
